epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.288,0.76857,3.58534,1.34385,0.00987,0.97439,0.18589,0.14113,0.71845,3.99649,1.21724,0.000203598,0.000203598,0.000203598
2,726.073,0.7843,2.70078,1.3633,0.64235,0.41713,0.4849,0.3513,0.73599,2.91451,1.27973,0.000403776,0.000403776,0.000403776
3,1057.61,0.81161,2.09188,1.37956,0.58493,0.49781,0.53451,0.37174,1.00449,3.78174,1.47398,0.000595703,0.000595703,0.000595703
4,1311.92,0.80237,1.92248,1.35063,0.63151,0.48417,0.56831,0.36141,1.33065,3.03534,1.83497,0.000587875,0.000587875,0.000587875
5,1676.23,0.79004,1.7464,1.3414,0.55221,0.66092,0.67616,0.46768,0.92032,2.33151,1.462,0.0005755,0.0005755,0.0005755
6,2096.47,0.79548,1.65562,1.34705,0.64258,0.62277,0.67625,0.42846,1.73087,4.2021,1.99341,0.000563125,0.000563125,0.000563125
7,2431.23,0.78033,1.55223,1.34008,0.72195,0.5705,0.63316,0.41071,1.41378,2.66414,1.81829,0.00055075,0.00055075,0.00055075
8,2688,0.73713,1.45229,1.31012,0.61808,0.71625,0.7209,0.49007,1.34889,2.33405,1.89054,0.000538375,0.000538375,0.000538375
9,2941.26,0.73692,1.40571,1.28286,0.6076,0.65928,0.66702,0.46708,1.461,2.27498,2.32107,0.000526,0.000526,0.000526
10,3345.81,0.69201,1.33741,1.25585,0.63129,0.70622,0.77125,0.56421,0.90019,1.88486,1.36068,0.000513625,0.000513625,0.000513625
11,3641.63,0.69573,1.25623,1.24441,0.61179,0.64902,0.74929,0.52829,1.04418,2.20748,1.50055,0.00050125,0.00050125,0.00050125
12,3921.13,0.69981,1.22776,1.26224,0.68738,0.69926,0.79284,0.53184,1.35484,1.89815,1.93228,0.000488875,0.000488875,0.000488875
13,4180.99,0.67088,1.19016,1.22201,0.69715,0.75492,0.81013,0.59079,1.36231,1.67393,1.8909,0.0004765,0.0004765,0.0004765
14,4436.58,0.64443,1.13895,1.2167,0.6974,0.69849,0.7354,0.48646,1.35114,2.02947,1.91101,0.000464125,0.000464125,0.000464125
15,4690.61,0.65503,1.08027,1.22964,0.81582,0.59075,0.75188,0.48772,0.92955,1.9403,1.43012,0.00045175,0.00045175,0.00045175
16,4946.85,0.6393,1.07682,1.20895,0.59094,0.69641,0.70479,0.47296,0.86686,1.87606,1.41333,0.000439375,0.000439375,0.000439375
17,5202.36,0.64294,1.063,1.20095,0.77234,0.74217,0.80954,0.57079,1.09562,1.77521,1.46863,0.000427,0.000427,0.000427
18,5462.84,0.61066,0.98557,1.17852,0.8921,0.66299,0.79292,0.52794,1.45929,1.80756,2.12217,0.000414625,0.000414625,0.000414625
19,5776.24,0.59394,0.95143,1.17712,0.75806,0.80022,0.85484,0.58102,0.90604,1.5454,1.38353,0.00040225,0.00040225,0.00040225
20,6087.72,0.58727,0.93333,1.1657,0.75563,0.80038,0.82081,0.55026,0.93212,1.70862,1.46188,0.000389875,0.000389875,0.000389875
21,6395.57,0.5773,0.87979,1.16026,0.7869,0.67021,0.76759,0.5625,0.84256,1.77638,1.38142,0.0003775,0.0003775,0.0003775
22,6700.67,0.58152,0.87774,1.16723,0.85674,0.72541,0.80485,0.60852,0.81669,1.57632,1.36065,0.000365125,0.000365125,0.000365125
23,7008.85,0.56378,0.86008,1.15374,0.75825,0.81254,0.81906,0.61447,0.72645,1.36947,1.27167,0.00035275,0.00035275,0.00035275
24,7316.03,0.59085,0.8716,1.17279,0.72606,0.787,0.83129,0.61076,0.79416,1.49134,1.23508,0.000340375,0.000340375,0.000340375
25,7625.57,0.54872,0.81465,1.13628,0.81932,0.75581,0.79089,0.58721,1.19817,1.57258,1.57863,0.000328,0.000328,0.000328
26,7937.66,0.53261,0.79637,1.12995,0.83209,0.81492,0.85212,0.65111,0.7,1.33886,1.2308,0.000315625,0.000315625,0.000315625
27,8244.8,0.52812,0.80471,1.13159,0.91759,0.72635,0.87987,0.67701,0.66336,1.5156,1.20542,0.00030325,0.00030325,0.00030325
28,8556.34,0.5484,0.7664,1.12804,0.75423,0.78716,0.76389,0.56872,0.86227,1.47309,1.37234,0.000290875,0.000290875,0.000290875
29,8854.78,0.54876,0.79777,1.13942,0.77034,0.79409,0.82139,0.61401,0.72634,1.2212,1.26907,0.0002785,0.0002785,0.0002785
30,9178.62,0.51785,0.71865,1.12058,0.86881,0.74109,0.83735,0.61827,0.89272,1.56514,1.41107,0.000266125,0.000266125,0.000266125
31,9518.75,0.51593,0.74048,1.11018,0.88387,0.77265,0.87615,0.66658,0.78894,1.34028,1.29908,0.00025375,0.00025375,0.00025375
32,9858.04,0.52443,0.7436,1.12007,0.85633,0.78806,0.86542,0.68007,0.71527,1.24715,1.28725,0.000241375,0.000241375,0.000241375
33,10197.2,0.4984,0.69817,1.1111,0.88952,0.79139,0.87384,0.66397,0.71863,1.28716,1.26677,0.000229,0.000229,0.000229
34,10536.6,0.49419,0.67219,1.09885,0.90697,0.77672,0.8739,0.64859,0.73288,1.28965,1.27019,0.000216625,0.000216625,0.000216625
